oq,rvnm,stcd,stnm,tm,wptn,z
9510,长江干流,60106980,三峡水库,1718506800000,5,149.900
9400,长江干流,60106980,三峡水库,1718510400000,5,149.940
9350,长江干流,60106980,三峡水库,1718514000000,5,150.040
9360,13500,长江干流,60106980,三峡水库,1718517600000,6,150.040
9350,长江干流,60106980,三峡水库,1718521200000,5,150.090
9340,长江干流,60106980,三峡水库,1718524800000,5,150.120
12400,长江干流,60106980,三峡水库,1718528400000,4,150.020
14800,长江干流,60106980,三峡水库,1718532000000,4,149.960
14800,长江干流,60106980,三峡水库,1718535600000,4,149.880
14800,13500,长江干流,60106980,三峡水库,1718539200000,4,149.850
14900,长江干流,60106980,三峡水库,1718542800000,4,149.830
14900,长江干流,60106980,三峡水库,1718546400000,4,149.810
13300,长江干流,60106980,三峡水库,1718550000000,5,149.820
13300,长江干流,60106980,三峡水库,1718553600000,5,149.860
13300,长江干流,60106980,三峡水库,1718557200000,6,149.860
13300,13500,长江干流,60106980,三峡水库,1718560800000,4,149.850
13300,长江干流,60106980,三峡水库,1718564400000,5,149.880
13300,长江干流,60106980,三峡水库,1718568000000,5,149.900
13300,长江干流,60106980,三峡水库,1718571600000,4,149.890
13300,长江干流,60106980,三峡水库,1718575200000,5,149.910
15600,长江干流,60106980,三峡水库,1718578800000,4,149.800
15600,14000,长江干流,60106980,三峡水库,1718582400000,5,149.820
15600,长江干流,60106980,三峡水库,1718586000000,4,149.790
14200,长江干流,60106980,三峡水库,1718589600000,5,149.800
11000,长江干流,60106980,三峡水库,1718593200000,5,149.940
10900,长江干流,60106980,三峡水库,1718596800000,5,149.960
10900,长江干流,60106980,三峡水库,1718600400000,5,150.020
10900,14000,长江干流,60106980,三峡水库,1718604000000,5,150.050
10900,长江干流,60106980,三峡水库,1718607600000,5,150.080
10900,长江干流,60106980,三峡水库,1718611200000,5,150.110
13900,长江干流,60106980,三峡水库,1718614800000,4,150.050
16300,长江干流,60106980,三峡水库,1718618400000,4,149.940
16300,长江干流,60106980,三峡水库,1718622000000,4,149.880
16400,14300,长江干流,60106980,三峡水库,1718625600000,4,149.850
17300,长江干流,60106980,三峡水库,1718629200000,4,149.770
17300,长江干流,60106980,三峡水库,1718632800000,6,149.770
17300,长江干流,60106980,三峡水库,1718636400000,4,149.720
